2024-03-03 13:52:06,624 INFO    StreamThr :14284 [internal.py:wandb_internal():86] W&B internal server running at pid: 14284, started at: 2024-03-03 13:52:06.624966
2024-03-03 13:52:06,626 DEBUG   HandlerThread:14284 [handler.py:handle_request():146] handle_request: status
2024-03-03 13:52:06,628 INFO    WriterThread:14284 [datastore.py:open_for_write():87] open: D:\Study\Skoltech\MachineLearning\ts_robustness\notebooks\wandb\run-20240303_135159-ldq7a7cp\run-ldq7a7cp.wandb
2024-03-03 13:52:06,628 DEBUG   SenderThread:14284 [sender.py:send():382] send: header
2024-03-03 13:52:06,628 DEBUG   SenderThread:14284 [sender.py:send():382] send: run
2024-03-03 13:52:07,581 INFO    SenderThread:14284 [dir_watcher.py:__init__():211] watching files in: D:\Study\Skoltech\MachineLearning\ts_robustness\notebooks\wandb\run-20240303_135159-ldq7a7cp\files
2024-03-03 13:52:07,582 INFO    SenderThread:14284 [sender.py:_start_run_threads():1136] run started: ldq7a7cp with start time 1709463126.273284
2024-03-03 13:52:07,596 DEBUG   HandlerThread:14284 [handler.py:handle_request():146] handle_request: check_version
2024-03-03 13:52:07,596 DEBUG   SenderThread:14284 [sender.py:send_request():409] send_request: check_version
2024-03-03 13:52:08,344 DEBUG   HandlerThread:14284 [handler.py:handle_request():146] handle_request: run_start
2024-03-03 13:52:08,358 DEBUG   HandlerThread:14284 [system_info.py:__init__():27] System info init
2024-03-03 13:52:08,358 DEBUG   HandlerThread:14284 [system_info.py:__init__():42] System info init done
2024-03-03 13:52:08,358 INFO    HandlerThread:14284 [system_monitor.py:start():194] Starting system monitor
2024-03-03 13:52:08,359 INFO    SystemMonitor:14284 [system_monitor.py:_start():158] Starting system asset monitoring threads
2024-03-03 13:52:08,360 INFO    HandlerThread:14284 [system_monitor.py:probe():214] Collecting system info
2024-03-03 13:52:08,362 DEBUG   HandlerThread:14284 [system_info.py:probe():151] Probing system
2024-03-03 13:52:08,362 INFO    SystemMonitor:14284 [interfaces.py:start():190] Started cpu monitoring
2024-03-03 13:52:08,363 INFO    SystemMonitor:14284 [interfaces.py:start():190] Started disk monitoring
2024-03-03 13:52:08,364 INFO    SystemMonitor:14284 [interfaces.py:start():190] Started gpu monitoring
2024-03-03 13:52:08,364 INFO    SystemMonitor:14284 [interfaces.py:start():190] Started memory monitoring
2024-03-03 13:52:08,379 INFO    SystemMonitor:14284 [interfaces.py:start():190] Started network monitoring
2024-03-03 13:52:08,380 DEBUG   HandlerThread:14284 [system_info.py:_probe_git():136] Probing git
2024-03-03 13:52:08,469 DEBUG   HandlerThread:14284 [system_info.py:_probe_git():144] Probing git done
2024-03-03 13:52:08,469 DEBUG   HandlerThread:14284 [system_info.py:probe():199] Probing system done
